package	candidate_version	selection_state
krb5-locales	1.21.3-5+deb13u1	selected
kwallet6	6.13.0-1	selected
l3afpad	0.8.18.1.11-4+b1	selected
laptop-detect	0.16+nmu1	selected
less	668-1	selected
lib2geom1.4.0	1.4-4	selected
liba52-0.7.4	0.7.4-20+b3	selected
libaa1	1.4p5-51.1+b1	selected
libabw-0.1-1	0.1.3-1+b2	selected
libaccountsservice0	23.13.9-7	selected
libadwaita-1-0	1.7.6-1~deb13u1	selected
libaio1t64	0.3.113-8+b1	selected
libamd3	1:7.10.1+dfsg-1	selected
libann0	1.1.2+doc-9+b1	selected
libaom3	3.12.1-1+deb13u1	selected
libappstream-glib8	0.8.3-1	selected
libappstream5	1.0.5-1	selected
libarchive13t64	3.7.4-4+deb13u1	selected
libargon2-1	0~20190702+dfsg-4+b2	selected
libaribb24-0t64	1.0.3-2.1+b2	selected
libasan8	14.2.0-19	selected
libasound2-data	1.2.14-1	selected
libasound2t64	1.2.14-1	selected
libass9	1:0.17.3-1+deb13u1	selected
libassuan9	3.0.2-2	selected
libasyncns0	0.8-6+b5	selected
libatasmart4	0.19-5+b2	selected
libatkmm-1.6-1v5	2.28.4-1+b2	selected
libaudcore5t64	4.4.2-1	selected
libaudgui6	4.4.2-1	selected
libaudqt3	4.4.2-1	selected
libaudtag3t64	4.4.2-1	selected
libavahi-glib1	0.8-16	selected
libavc1394-0	0.5.4-5+b2	selected
libavcodec61	7:7.1.5-0+deb13u1	selected
libavdevice61	7:7.1.5-0+deb13u1	selected
libavfilter10	7:7.1.5-0+deb13u1	selected
libavformat61	7:7.1.5-0+deb13u1	selected
libavif16	1.2.1-1.2	selected
libavutil59	7:7.1.5-0+deb13u1	selected
libayatana-ido3-0.4-0	0.10.4-1	selected
libayatana-indicator3-7	0.9.4-1+b1	selected
libb2-1	0.98.1-1.1+b2	selected
libbabl-0.1-0	1:0.1.114-2	selected
libblas3	3.12.1-6	selected
libblkid1	2.41.5-0+deb13u1	selected
libblockdev-crypto3	3.3.0-2.1	selected
libblockdev-fs3	3.3.0-2.1	selected
libblockdev-loop3	3.3.0-2.1	selected
libblockdev-mdraid3	3.3.0-2.1	selected
libblockdev-nvme3	3.3.0-2.1	selected
libblockdev-part3	3.3.0-2.1	selected
libblockdev-swap3	3.3.0-2.1	selected
libblockdev-utils3	3.3.0-2.1	selected
libblockdev3	3.3.0-2.1	selected
libbluetooth3	5.82-1.1	selected
libbluray2	1:1.3.4-1+b2	selected
libboost-filesystem1.83.0	1.83.0-4.2	selected
libboost-iostreams1.83.0	1.83.0-4.2	selected
libboost-locale1.83.0	1.83.0-4.2	selected
libboost-thread1.83.0	1.83.0-4.2	selected
libbox2d2	2.4.1-3+b3	selected
libbpf1	1:1.5.0-3	selected
libbs2b0	3.1.0+dfsg-8+b1	selected
libbytesize-common	2.11-2	selected
libbytesize1	2.11-2	selected
libc-dev-bin	2.41-12+deb13u3	selected
libc-l10n	2.41-12+deb13u3	selected
libc6-dev	2.41-12+deb13u3	selected
libcaca0	0.99.beta20-5+deb13u1	selected
libcairo-script-interpreter2	1.18.4-1+b1	selected
libcairomm-1.0-1v5	1.14.5-2+b1	selected
libcairomm-1.16-1	1.18.0-2	selected
libcaja-extension1	1.26.4-1	selected
libcamd3	1:7.10.1+dfsg-1	selected
libcanberra-gtk3-0	0.30-18	selected
libcanberra0	0.30-18	selected
libcap2-bin	1:2.75-10+deb13u1+b1	selected
libcbor0.10	0.10.2-2	selected
libcc1-0	14.2.0-19	selected
libccolamd3	1:7.10.1+dfsg-1	selected
